report_date,BA.1,BA.2,BA.2.75,BA.2.86,BA.4,BA.5,CH.1.1,Delta,EG.5,HK.3,JN.1,Recombinant,XBB,XBC
2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-07,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0
2021-08-08,0,0,0,0,0,0,0,2.71,0,0,0,0,0,0
2021-08-09,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2021-08-10,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0
2021-08-11,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0
2021-08-13,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0
2021-08-14,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0
2021-08-15,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0
2021-08-17,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0
2021-08-18,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0
2021-08-19,0,0,0,0,0,0,0,6.86,0,0,0,0,0,0
2021-08-20,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0
2021-08-21,0,0,0,0,0,0,0,12.86,0,0,0,0,0,0
2021-08-22,0,0,0,0,0,0,0,17.43,0,0,0,0,0,0
2021-08-23,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0
2021-08-24,0,0,0,0,0,0,0,27.71,0,0,0,0,0,0
2021-08-25,0,0,0,0,0,0,0,35.14,0,0,0,0,0,0
2021-08-26,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0
2021-08-27,0,0,0,0,0,0,0,50.43,0,0,0,0,0,0
2021-08-28,0,0,0,0,0,0,0,56.71,0,0,0,0,0,0
2021-08-29,0,0,0,0,0,0,0,59.29,0,0,0,0,0,0
2021-08-30,0,0,0,0,0,0,0,63.57,0,0,0,0,0,0
2021-08-31,0,0,0,0,0,0,0,63.71,0,0,0,0,0,0
2021-09-01,0,0,0,0,0,0,0,61,0,0,0,0,0,0
2021-09-02,0,0,0,0,0,0,0,54.86,0,0,0,0,0,0
2021-09-03,0,0,0,0,0,0,0,47.43,0,0,0,0,0,0
2021-09-04,0,0,0,0,0,0,0,41,0,0,0,0,0,0
2021-09-05,0,0,0,0,0,0,0,35.71,0,0,0,0,0,0
2021-09-06,0,0,0,0,0,0,0,30.57,0,0,0,0,0,0
2021-09-07,0,0,0,0,0,0,0,24.86,0,0,0,0,0,0
2021-09-08,0,0,0,0,0,0,0,21.14,0,0,0,0,0,0
2021-09-09,0,0,0,0,0,0,0,18.29,0,0,0,0,0,0
2021-09-10,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0
2021-09-11,0,0,0,0,0,0,0,17.14,0,0,0,0,0,0
2021-09-12,0,0,0,0,0,0,0,20.14,0,0,0,0,0,0
2021-09-13,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0
2021-09-14,0,0,0,0,0,0,0,17.29,0,0,0,0,0,0
2021-09-15,0,0,0,0,0,0,0,17,0,0,0,0,0,0
2021-09-16,0,0,0,0,0,0,0,17.29,0,0,0,0,0,0
2021-09-17,0,0,0,0,0,0,0,16.86,0,0,0,0,0,0
2021-09-18,0,0,0,0,0,0,0,17.43,0,0,0,0,0,0
2021-09-19,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0
2021-09-20,0,0,0,0,0,0,0,15.43,0,0,0,0,0,0
2021-09-21,0,0,0,0,0,0,0,17.57,0,0,0,0,0,0
2021-09-22,0,0,0,0,0,0,0,17.43,0,0,0,0,0,0
2021-09-23,0,0,0,0,0,0,0,17.14,0,0,0,0,0,0
2021-09-24,0,0,0,0,0,0,0,16.14,0,0,0,0,0,0
2021-09-25,0,0,0,0,0,0,0,16,0,0,0,0,0,0
2021-09-26,0,0,0,0,0,0,0,14,0,0,0,0,0,0
2021-09-27,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0
2021-09-28,0,0,0,0,0,0,0,16.29,0,0,0,0,0,0
2021-09-29,0,0,0,0,0,0,0,17.43,0,0,0,0,0,0
2021-09-30,0,0,0,0,0,0,0,18.29,0,0,0,0,0,0
2021-10-01,0,0,0,0,0,0,0,20.57,0,0,0,0,0,0
2021-10-02,0,0,0,0,0,0,0,21.29,0,0,0,0,0,0
2021-10-03,0,0,0,0,0,0,0,23.57,0,0,0,0,0,0
2021-10-04,0,0,0,0,0,0,0,26.43,0,0,0,0,0,0
2021-10-05,0,0,0,0,0,0,0,25.57,0,0,0,0,0,0
2021-10-06,0,0,0,0,0,0,0,27.29,0,0,0,0,0,0
2021-10-07,0,0,0,0,0,0,0,29.29,0,0,0,0,0,0
2021-10-08,0,0,0,0,0,0,0,30.43,0,0,0,0,0,0
2021-10-09,0,0,0,0,0,0,0,32.43,0,0,0,0,0,0
2021-10-10,0,0,0,0,0,0,0,34.43,0,0,0,0,0,0
2021-10-11,0,0,0,0,0,0,0,35.86,0,0,0,0,0,0
2021-10-12,0,0,0,0,0,0,0,37,0,0,0,0,0,0
2021-10-13,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0
2021-10-14,0,0,0,0,0,0,0,46.14,0,0,0,0,0,0
2021-10-15,0,0,0,0,0,0,0,46.14,0,0,0,0,0,0
2021-10-16,0,0,0,0,0,0,0,47.57,0,0,0,0,0,0
2021-10-17,0,0,0,0,0,0,0,50,0,0,0,0,0,0
2021-10-18,0,0,0,0,0,0,0,53.71,0,0,0,0,0,0
2021-10-19,0,0,0,0,0,0,0,56.43,0,0,0,0,0,0
2021-10-20,0,0,0,0,0,0,0,57.71,0,0,0,0,0,0
2021-10-21,0,0,0,0,0,0,0,58.57,0,0,0,0,0,0
2021-10-22,0,0,0,0,0,0,0,61.29,0,0,0,0,0,0
