report_date,Delta,BA.1,BA.2,BA.2.75,BA.4,BA.5
2021-08-17,NA,NA,NA,NA,NA,NA
2021-08-18,NA,NA,NA,NA,NA,NA
2021-08-19,NA,NA,NA,NA,NA,NA
2021-08-20,NA,NA,NA,NA,NA,NA
2021-08-21,NA,NA,NA,NA,NA,NA
2021-08-22,NA,NA,NA,NA,NA,NA
2021-08-23,19.43,0,0,0,0,0
2021-08-24,26.14,0,0,0,0,0
2021-08-25,34.71,0,0,0,0,0
2021-08-26,43.43,0,0,0,0,0
2021-08-27,51.14,0,0,0,0,0
2021-08-28,58,0,0,0,0,0
2021-08-29,60.57,0,0,0,0,0
2021-08-30,64.43,0,0,0,0,0
2021-08-31,64.57,0,0,0,0,0
2021-09-01,61.57,0,0,0,0,0
2021-09-02,54.71,0,0,0,0,0
2021-09-03,47.14,0,0,0,0,0
2021-09-04,40.14,0,0,0,0,0
2021-09-05,34.71,0,0,0,0,0
2021-09-06,30,0,0,0,0,0
2021-09-07,24,0,0,0,0,0
2021-09-08,19.57,0,0,0,0,0
2021-09-09,17,0,0,0,0,0
2021-09-10,17,0,0,0,0,0
2021-09-11,15.71,0,0,0,0,0
2021-09-12,18.71,0,0,0,0,0
2021-09-13,16.29,0,0,0,0,0
2021-09-14,16.14,0,0,0,0,0
2021-09-15,16.57,0,0,0,0,0
2021-09-16,16.43,0,0,0,0,0
2021-09-17,16.14,0,0,0,0,0
2021-09-18,17.29,0,0,0,0,0
2021-09-19,15.57,0,0,0,0,0
2021-09-20,15.57,0,0,0,0,0
2021-09-21,17.43,0,0,0,0,0
2021-09-22,17.43,0,0,0,0,0
2021-09-23,17.57,0,0,0,0,0
2021-09-24,16.43,0,0,0,0,0
2021-09-25,16.29,0,0,0,0,0
2021-09-26,14.43,0,0,0,0,0
2021-09-27,13.71,0,0,0,0,0
2021-09-28,16.71,0,0,0,0,0
2021-09-29,17.57,0,0,0,0,0
2021-09-30,18.43,0,0,0,0,0
2021-10-01,21,0,0,0,0,0
2021-10-02,21.71,0,0,0,0,0
2021-10-03,23.71,0,0,0,0,0
