report_date,rbd_0,rbd_1,rbd_2,rbd_3,rbd_4,rbd_5,rbd_6,rbd_7,rbd_8
2022-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-26,0.29,0,0.14,46.43,14.14,6.14,4.43,4.71,0
2022-10-27,0.71,0,0.14,45.86,15.57,6.29,5.43,4.71,0
2022-10-28,1,0,0,43.86,14.71,6.29,6.29,3.57,0
2022-10-29,1.29,0.14,0.14,47,14.71,5.86,7,3.86,0
2022-10-30,1.29,0.14,0.14,46.43,16.14,5.71,7.29,4,0
2022-10-31,1.57,0.14,0.14,49.57,17.57,6.71,6.71,4,0
2022-11-01,1.71,0.14,0.14,48.29,17.14,6.43,7,4.29,0
2022-11-02,1.86,0.14,0.14,46.14,20.29,6.86,6.43,4.14,0
2022-11-03,1.57,0.14,0.14,45.57,19.86,6.71,6,4,0
2022-11-04,1.29,0.14,0.14,45.29,20.57,6.57,6.43,4.71,0
2022-11-05,0.86,0,0,43.57,19.57,6.57,6.43,5.14,0
2022-11-06,0.86,0,0,42.57,18.57,7,6.71,5.43,0
2022-11-07,0.71,0,0,41.43,20,7.29,7.57,7,0
2022-11-08,0.71,0,0,40.43,19.57,8.14,8.71,8.43,0
2022-11-09,0.71,0,0,40.29,18.14,8.86,10.57,8.71,0.14
2022-11-10,0.86,0,0,38.14,18.14,10.29,11,10.14,0.29
2022-11-11,1.14,0.14,0,37.57,17.71,11.71,11.14,10.43,0.29
2022-11-12,1.57,0.14,0,36,17.14,11.86,11.71,10.43,0.43
2022-11-13,1.57,0.14,0,36.43,17,13.14,11.71,10.86,0.43
2022-11-14,1.86,0.14,0,35.71,14.86,14.29,12.43,9.86,0.43
2022-11-15,1.57,0.14,0,32.29,16,14.57,13.86,8.14,0.43
2022-11-16,1.43,0.14,0,28.14,13.29,13.86,12.43,7.43,0.29
2022-11-17,1.14,0.14,0,23.43,10.71,11.43,11.14,5.57,0.14
2022-11-18,1.29,0,0.14,30.29,12.57,13.57,17,8.29,0.14
2022-11-19,1,0,0.14,28.71,13.71,13.86,17.86,8.57,0
2022-11-20,1.14,0,0.29,27.29,13.14,12.57,19.57,7.86,0
2022-11-21,0.71,0.14,0.43,24.43,13.43,11.14,20.29,8.86,0
2022-11-22,0.86,0.14,0.43,24.71,12.14,10,19.86,11.14,0
2022-11-23,0.86,0.14,0.43,23.86,11.57,9,19,10.43,0
